cbsa_cd,cbsa_abbr,cbsa_name
46700,VFR,"Vallejo-Fairfield, CA (MSA)"
47020,VIC,"Victoria, TX (MSA)"
47220,VIN,"Vineland-Bridgeton, NJ (MSA)"
46660,VLD,"Valdosta, GA (MSA)"
47300,VTP,"Visalia-Porterville, CA (MSA)"
47380,WAC,"Waco, TX (MSA)"
48140,WAS,"Wausau, WI (MSA)"
47940,WAT,"Waterloo-Cedar Falls, IA (MSA)"
49020,WCH,"Winchester, VA-WV (MSA)"
48260,WEU,"Weirton-Steubenville, WV-OH (MSA)"
48060,WFD,"Watertown-Fort Drum, NY (MSA)"
48540,WHL,"Wheeling, WV-OH (MSA)"
48620,WIC,"Wichita, KS (MSA)"
48660,WIF,"Wichita Falls, TX (MSA)"
48900,WLM,"Wilmington, NC (MSA)"
47460,WLW,"Walla Walla, WA (MSA)"
48300,WNC,"Wenatchee, WA (MSA)"
47580,WRR,"Warner Robins, GA (MSA)"
49180,WSA,"Winston-Salem, NC (MSA)"
47900,WSH,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)"
48700,WSP,"Williamsport, PA (MSA)"
49340,WST,"Worcester, MA-CT (MSA)"
49420,YAK,"Yakima, WA (MSA)"
49660,YNG,"Youngstown-Warren-Boardman, OH-PA (MSA)"
49620,YRK,"York-Hanover, PA (MSA)"
49700,YUB,"Yuba City, CA (MSA)"
49740,YUM,"Yuma, AZ (MSA)"
10100,ABD,"Aberdeen, SD Micropolitan SA"
10660,ABE,"Albert Lea, MN Micropolitan SA"
10620,ABM,"Albemarle, NC Micropolitan SA"
10700,ABT,"Albertville, AL Micropolitan SA"
10140,ABW,"Aberdeen, WA Micropolitan SA"
10220,ADA,"Ada, OK Micropolitan SA"
10260,ADJ,"Adjuntas, PR Micropolitan SA"
10300,ADR,"Adrian, MI Micropolitan SA"
10860,ALC,"Alice, TX Micropolitan SA"
10940,ALM,"Alma, MI Micropolitan SA"
10980,ALP,"Alpena, MI Micropolitan SA"
11060,ALU,"Altus, OK Micropolitan SA"
11140,AMC,"Americus, GA Micropolitan SA"
10460,AMG,"Alamogordo, NM Micropolitan SA"
11220,AMN,"Amsterdam, NY Micropolitan SA"
11420,ANG,"Angola, IN Micropolitan SA"
11380,ANW,"Andrews, TX Micropolitan SA"
11580,ARC,"Arcadia, FL Micropolitan SA"
11620,ARD,"Ardmore, OK Micropolitan SA"
11660,ARK,"Arkadelphia, AR Micropolitan SA"
11680,ARW,"Arkansas City-Winfield, KS Micropolitan SA"
11780,ASB,"Ashtabula, OH Micropolitan SA"
11740,ASL,"Ashland, OH Micropolitan SA"
11820,AST,"Astoria, OR Micropolitan SA"
11860,ATC,"Atchison, KS Micropolitan SA"
